cost_PV,cost_WG,cost_net,cost_sum
0.0,0.0,237.0,237.0
0.0,0.0,275.0,275.0
0.0,0.0,277.0,277.0
0.0,0.0,310.0,310.0
0.0,0.0,310.0,310.0
0.0,0.0,293.0,293.0
0.0,0.0,293.0,293.0
1.74,0.0,375.65,377.39
90.78,0.0,148.05,238.83
112.4,0.0,0.0,112.4
178.8,0.0,0.0,178.8
178.8,0.0,0.0,178.8
178.8,0.0,0.0,178.8
162.0,0.0,0.0,162.0
161.60000000000002,0.0,0.0,161.60000000000002
127.26000000000002,0.0,34.849999999999966,162.10999999999999
18.57,0.0,195.575,214.14499999999998
0.0,0.0,313.0,313.0
0.0,0.0,287.0,287.0
0.0,0.0,288.0,288.0
0.0,0.0,284.0,284.0
0.0,0.0,287.0,287.0
0.0,0.0,277.0,277.0
0.0,0.0,275.0,275.0
