E_B,P_Battery_Max,cost_ALL,cost_PV,cost_WG,cost_net
100,50,6031.14897260274,1210.75,0.0,4760.125
200,50,5966.464041095891,1210.75,0.0,4646.125
200,100,5977.422945205481,1210.75,0.0,4646.125
200,150,5988.381849315068,1210.75,0.0,4646.125
300,50,5901.779109589042,1210.75,0.0,4532.125
300,100,5912.738013698631,1210.75,0.0,4532.125
300,150,5923.69691780822,1210.75,0.0,4532.125
300,200,5934.655821917809,1210.75,0.0,4532.125
400,50,5870.344178082192,1210.75,0.0,4451.375
400,100,5848.053082191782,1210.75,0.0,4418.125
400,150,5859.011986301371,1210.75,0.0,4418.125
400,200,5869.970890410959,1210.75,0.0,4418.125
400,250,5880.929794520549,1210.75,0.0,4418.125
400,300,5891.888698630137,1210.75,0.0,4418.125
500,50,5881.659246575343,1210.75,0.0,4413.375
500,100,5783.368150684932,1210.75,0.0,4304.125
500,150,5794.327054794521,1210.75,0.0,4304.125
500,200,5805.28595890411,1210.75,0.0,4304.125
500,250,5816.2448630137,1210.75,0.0,4304.125
500,300,5827.203767123288,1210.75,0.0,4304.125
500,350,5838.162671232877,1210.75,0.0,4304.125
500,400,5849.121575342467,1210.75,0.0,4304.125
600,50,5892.9743150684935,1210.75,0.0,4375.375
600,100,5718.683219178083,1210.75,0.0,4190.125
600,150,5729.642123287672,1210.75,0.0,4190.125
600,200,5740.601027397261,1210.75,0.0,4190.125
600,250,5751.55993150685,1210.75,0.0,4190.125
600,300,5762.518835616438,1210.75,0.0,4190.125
600,350,5773.477739726028,1210.75,0.0,4190.125
600,400,5784.436643835617,1210.75,0.0,4190.125
600,450,5795.395547945206,1210.75,0.0,4190.125
700,50,5904.289383561644,1210.75,0.0,4337.375
700,100,5663.653850171233,1210.75,0.0,4085.7805625
700,150,5664.9571917808225,1210.75,0.0,4076.125
700,200,5675.916095890412,1210.75,0.0,4076.125
700,250,5686.875,1210.75,0.0,4076.125
700,300,5697.83390410959,1210.75,0.0,4076.125
700,350,5708.792808219179,1210.75,0.0,4076.125
700,400,5719.751712328767,1210.75,0.0,4076.125
700,450,5730.710616438357,1210.75,0.0,4076.125
700,500,5741.669520547946,1210.75,0.0,4076.125
700,550,5752.628424657534,1210.75,0.0,4076.125
800,50,5915.604452054795,1210.75,0.0,4299.375
800,100,5674.968918664385,1210.75,0.0,4047.7805625
800,150,5600.272260273974,1210.75,0.0,3962.125
800,200,5611.231164383563,1210.75,0.0,3962.125
800,250,5622.190068493152,1210.75,0.0,3962.125
800,300,5633.14897260274,1210.75,0.0,3962.125
800,350,5644.107876712329,1210.75,0.0,3962.125
800,400,5655.066780821919,1210.75,0.0,3962.125
800,450,5666.025684931507,1210.75,0.0,3962.125
800,500,5676.984589041096,1210.75,0.0,3962.125
800,550,5687.943493150686,1210.75,0.0,3962.125
800,600,5698.9023972602745,1210.75,0.0,3962.125
900,50,5926.919520547946,1210.75,0.0,4261.375
900,100,5686.283987157534,1210.75,-2.1316282072803006e-14,4009.7805625
900,150,5535.587328767124,1210.75,0.0,3848.125
900,200,5546.546232876713,1210.75,0.0,3848.125
900,250,5557.505136986302,1210.75,0.0,3848.125
900,300,5568.464041095891,1210.75,0.0,3848.125
900,350,5579.422945205481,1210.75,0.0,3848.125
900,400,5590.381849315069,1210.75,0.0,3848.125
900,450,5601.340753424658,1210.75,0.0,3848.125
900,500,5612.299657534248,1210.75,0.0,3848.125
900,550,5623.258561643836,1210.75,0.0,3848.125
900,600,5634.217465753425,1210.75,0.0,3848.125
900,650,5645.176369863015,1210.75,0.0,3848.125
900,700,5656.1352739726035,1210.75,0.0,3848.125
1000,50,5938.234589041096,1210.75,0.0,4223.375
1000,100,5697.599055650685,1210.75,0.0,3971.7805625
1000,150,5499.787147260275,1210.75,0.0,3763.00975
1000,200,5481.861301369862,1210.75,0.0,3734.125
1000,250,5492.820205479453,1210.75,-2.842170943040401e-14,3734.125
1000,300,5503.779109589042,1210.75,-2.842170943040401e-14,3734.125
1000,350,5514.738013698631,1210.75,-2.842170943040401e-14,3734.125
1000,400,5525.69691780822,1210.75,-2.842170943040401e-14,3734.125
1000,450,5536.655821917809,1210.75,-2.842170943040401e-14,3734.125
1000,500,5547.614726027398,1210.75,-2.842170943040401e-14,3734.125
1000,550,5558.573630136987,1210.75,-2.842170943040401e-14,3734.125
1000,600,5569.532534246576,1210.75,-2.842170943040401e-14,3734.125
1000,650,5580.491438356165,1210.75,-2.842170943040401e-14,3734.125
1000,700,5591.450342465754,1210.75,-2.842170943040401e-14,3734.125
1000,750,5602.409246575343,1210.75,-2.842170943040401e-14,3734.125
1000,800,5613.3681506849325,1210.75,-2.842170943040401e-14,3734.125
1100,50,5949.549657534247,1210.75,0.0,4185.375
1100,100,5708.914124143836,1210.75,-1.4210854715202004e-14,3933.7805625
1100,150,5511.102215753425,1210.75,-1.4210854715202004e-14,3725.0097499999997
1100,200,5417.176369863014,1210.75,-1.4210854715202004e-14,3620.125
1100,250,5428.1352739726035,1210.75,-1.4210854715202004e-14,3620.125
1100,300,5439.094178082192,1210.75,-1.4210854715202004e-14,3620.125
1100,350,5450.053082191782,1210.75,-1.4210854715202004e-14,3620.125
1100,400,5461.01198630137,1210.75,-1.4210854715202004e-14,3620.125
1100,450,5471.970890410959,1210.75,-1.4210854715202004e-14,3620.125
1100,500,5482.929794520549,1210.75,-1.4210854715202004e-14,3620.125
1100,550,5493.888698630137,1210.75,-1.4210854715202004e-14,3620.125
1100,600,5504.847602739726,1210.75,-1.4210854715202004e-14,3620.125
1100,650,5515.806506849316,1210.75,-1.4210854715202004e-14,3620.125
1100,700,5526.765410958905,1210.75,-1.4210854715202004e-14,3620.125
1100,750,5537.7243150684935,1210.75,-1.4210854715202004e-14,3620.125
1100,800,5548.683219178083,1210.75,-1.4210854715202004e-14,3620.125
1100,850,5559.642123287672,1210.75,-1.4210854715202004e-14,3620.125
1200,50,5960.864726027397,1210.75,0.0,4147.375
1200,100,5720.229192636986,1210.75,0.0,3895.7805625
1200,150,5522.417284246576,1210.75,0.0,3687.0097499999997
1200,200,5406.033438356165,1210.75,0.0,3559.667
1200,250,5416.992342465754,1210.75,0.0,3559.667
1200,300,5427.951246575343,1210.75,0.0,3559.667
1200,350,5438.910150684932,1210.75,0.0,3559.667
1200,400,5449.869054794521,1210.75,0.0,3559.667
1200,450,5460.82795890411,1210.75,0.0,3559.667
1200,500,5471.786863013699,1210.75,0.0,3559.667
1200,550,5482.745767123288,1210.75,0.0,3559.667
1200,600,5493.704671232877,1210.75,0.0,3559.667
1200,650,5504.663575342466,1210.75,0.0,3559.667
1200,700,5515.622479452055,1210.75,0.0,3559.667
1200,750,5526.5813835616445,1210.75,0.0,3559.667
1200,800,5537.540287671233,1210.75,0.0,3559.667
1200,850,5548.499191780823,1210.75,0.0,3559.667
1200,900,5559.458095890411,1210.75,0.0,3559.667
1200,950,5570.417,1210.75,0.0,3559.667
1300,50,5972.179794520549,1210.75,0.0,4109.375
1300,100,5731.544261130137,1210.75,0.0,3857.7805625
1300,150,5533.732352739727,1210.75,0.0,3649.00975
1300,200,5417.3485068493155,1210.75,0.0,3521.667
1300,250,5428.307410958904,1210.75,0.0,3521.6670000000004
1300,300,5439.266315068494,1210.75,0.0,3521.6670000000004
1300,350,5450.225219178083,1210.75,0.0,3521.6670000000004
