E_B,P_Battery_Max,cost_ALL,cost_PV,cost_WG,cost_net
100,50,5063.223217668529,0.0,2703.9992450657896,2298.9500000000003
200,50,5095.90041609589,0.0,2687.3613750000004,2298.9500000000003
200,100,5093.1000603370585,0.0,2733.0657401315793,2239.486375
200,150,5109.863999686039,0.0,2729.2445337006584,2249.1126166703125
300,50,5125.851859589041,0.0,2668.7250000000004,2298.22275
300,100,5113.41407619863,0.0,2732.5646875,2210.986375
300,150,5117.906097717018,0.0,2769.099830082237,2167.9843498265627
300,200,5136.950386514108,0.0,2761.0144453947373,2184.1551192015627
400,50,5137.166928082192,0.0,2668.7250000000004,2260.22275
400,100,5144.204457191781,0.0,2714.0400000000004,2210.986375
400,150,5135.57239255137,0.0,2777.9520312500003,2127.4833750000003
400,200,5133.039104985713,0.0,2817.1310758388163,2074.8121387359374
400,250,5143.998009095301,0.0,2817.1310758388163,2074.8121387359374
400,300,5154.956913204891,0.0,2817.1310758388163,2074.8121387359374
500,50,5148.481996575343,0.0,2668.7250000000004,2222.22275
500,100,5173.572745059932,0.0,2696.2161250000004,2208.863469375
500,150,5166.600429794522,0.0,2759.6650000000004,2127.4833750000003
500,200,5157.73157421661,0.0,2821.287865312501,2046.03275
500,250,5144.34380756962,0.0,2871.8371876809215,1971.136756875
500,300,5154.316771829619,0.0,2873.4046284703954,1968.5833762359375
500,350,5165.275675939209,0.0,2873.4046284703954,1968.5833762359375
500,400,5176.234580048798,0.0,2873.4046284703954,1968.5833762359375
600,50,5159.797065068493,0.0,2668.7250000000004,2184.22275
600,100,5185.609094178082,0.0,2696.2161250000004,2171.58475
600,150,5196.915498287672,0.0,2740.665,2127.4833750000003
600,200,5188.534142709761,0.0,2802.7753653125,2046.03275
600,250,5178.91976556935,0.0,2863.6527090625004,1964.5821250000001
600,300,5167.420269681487,0.0,2910.3402732072373,1895.4361608578126
600,350,5175.288710014988,0.0,2916.9131578947377,1885.7728123942236
600,400,5186.247614124577,0.0,2916.9131578947377,1885.7728123942236
600,450,5197.206518234166,0.0,2916.9131578947377,1885.7728123942236
700,50,5171.112133561644,0.0,2668.7250000000004,2146.2227500000004
700,100,5196.924162671233,0.0,2696.2161250000004,2133.58475
700,150,5225.629723655822,0.0,2723.6536250000004,2123.893906875
700,200,5219.799836202912,0.0,2784.7259903125005,2046.03275
700,250,5209.868584062501,0.0,2845.2864590625004,1964.5821250000004
700,300,5199.9559024648515,0.0,2904.2856449177634,1884.7113534375
700,350,5203.598567348214,0.0,2924.0058791551255,1857.6748799739112
700,400,5214.557471457803,0.0,2924.0058791551255,1857.6748799739112
700,450,5225.516375567392,0.0,2924.0058791551255,1857.6748799739112
700,500,5236.475279676981,0.0,2924.0058791551255,1857.6748799739112
700,550,5247.43418378657,0.0,2924.0058791551255,1857.6748799739112
800,50,5182.427202054794,0.0,2668.7250000000004,2108.22275
800,100,5208.239231164383,0.0,2696.2161250000004,2095.58475
800,150,5237.982947773973,0.0,2723.653625,2086.9320625000005
800,200,5250.114904696062,0.0,2765.7259903125005,2046.03275
800,250,5241.191083493151,0.0,2827.29389,1964.5821250000004
800,300,5231.34343479024,0.0,2887.0349837500003,1884.0344784375
800,350,5218.471056893996,0.0,2935.905800207757,1811.3323799739107
800,400,5229.786349161481,0.0,2936.2621883656516,1811.3323799739107
800,450,5240.7452532710695,0.0,2936.2621883656516,1811.3323799739107
800,500,5251.704157380658,0.0,2936.2621883656516,1811.3323799739107
800,550,5262.663061490248,0.0,2936.2621883656516,1811.3323799739107
800,600,5273.621965599837,0.0,2936.2621883656516,1811.3323799739107
900,50,5193.742270547945,0.0,2668.7250000000004,2070.22275
900,100,5219.554299657534,0.0,2696.216125,2057.58475
900,150,5249.298016267124,0.0,2723.6536250000004,2048.9320625
900,200,5278.175067564212,0.0,2749.5271153125004,2040.9767193750001
900,250,5271.687002298802,0.0,2808.4747403125,1964.582125
900,300,5262.22325984589,0.0,2868.5997403125,1884.0344784375
900,350,5226.6542001793905,0.0,2944.3988750000008,1761.707379973911
900,400,5227.763996321529,0.0,2959.2594182825487,1736.9977287239112
900,450,5238.7229004311175,0.0,2959.2594182825487,1736.9977287239112
900,500,5249.681804540706,0.0,2959.2594182825487,1736.9977287239112
900,550,5260.640708650296,0.0,2959.2594182825487,1736.9977287239112
900,600,5271.599612759885,0.0,2959.2594182825487,1736.9977287239112
900,650,5282.558516869474,0.0,2959.2594182825487,1736.9977287239112
900,700,5293.517420979062,0.0,2959.2594182825487,1736.9977287239112
1000,50,5205.686433416096,0.0,2668.7250000000004,2032.8518443750004
1000,100,5230.869368150685,0.0,2696.216125,2019.58475
1000,150,5260.613084760274,0.0,2723.653625,2010.9320625
1000,200,5290.845166682363,0.0,2749.5271153125,2004.33175
1000,250,5302.002070791953,0.0,2789.4747403125,1964.5821250000004
1000,300,5292.53832833904,0.0,2849.5997403125,1884.0344784375
1000,350,5242.618649297541,0.0,2942.100000000001,1730.6556355989112
1000,400,5225.078097643626,0.0,2980.3120498614962,1663.9441299739112
1000,450,5236.037001753216,0.0,2980.3120498614962,1663.9441299739112
1000,500,5246.995905862805,0.0,2980.3120498614962,1663.9441299739112
1000,550,5257.954809972393,0.0,2980.3120498614962,1663.9441299739112
1000,600,5268.913714081983,0.0,2980.3120498614962,1663.9441299739112
1000,650,5279.872618191572,0.0,2980.3120498614962,1663.9441299739112
1000,700,5290.8315223011605,0.0,2980.3120498614962,1663.9441299739112
1000,750,5301.790426410749,0.0,2980.3120498614962,1663.9441299739112
1000,800,5312.749330520338,0.0,2980.3120498614962,1663.9441299739112
1100,50,5220.706501909246,0.0,2668.7250000000004,1998.5568443749999
1100,100,5242.184436643835,0.0,2696.216125,1981.58475
1100,150,5271.928153253425,0.0,2723.6536250000004,1972.9320625
1100,200,5302.160235175515,0.0,2749.5271153125004,1966.33175
1100,250,5329.054977410103,0.0,2774.5271153125004,1957.2675881250002
1100,300,5312.849359957191,0.0,2843.0271153125004,1861.6030665625
1100,350,5255.804962165692,0.0,2942.100000000001,1694.526879973911
1100,400,5224.737000840725,0.0,3001.364681440444,1593.2353330989113
1100,450,5235.695904950314,0.0,3001.364681440444,1593.2353330989113
1100,500,5246.654809059903,0.0,3001.364681440444,1593.2353330989113
1100,550,5257.613713169492,0.0,3001.364681440444,1593.2353330989113
1100,600,5268.572617279081,0.0,3001.364681440444,1593.2353330989113
1100,650,5279.53152138867,0.0,3001.364681440444,1593.2353330989113
1100,700,5290.490425498258,0.0,3001.364681440444,1593.2353330989113
1100,750,5301.449329607847,0.0,3001.364681440444,1593.2353330989113
1100,800,5312.408233717437,0.0,3001.364681440444,1593.2353330989113
1100,850,5323.3671378270255,0.0,3001.364681440444,1593.2353330989113
1200,50,5232.035976027398,0.0,2668.7250000000004,1960.57125
1200,100,5253.499505136986,0.0,2696.2161250000004,1943.5847500000002
1200,150,5283.243221746576,0.0,2723.6536250000004,1934.9320625
1200,200,5313.475303668664,0.0,2749.5271153125,1928.33175
1200,250,5341.956395278254,0.0,2774.5271153125004,1920.8539375
1200,300,5324.519840325342,0.0,2843.0271153125004,1823.9584784375
1200,350,5267.1200306588435,0.0,2942.100000000001,1656.5268799739108
1200,400,5231.840746643432,0.0,3013.9500000000003,1538.438691848911
1200,450,5237.473605022412,0.0,3022.4173130193913,1524.645333098911
1200,500,5248.432509132001,0.0,3022.4173130193913,1524.645333098911
1200,550,5259.391413241589,0.0,3022.4173130193913,1524.645333098911
1200,600,5270.350317351179,0.0,3022.4173130193913,1524.645333098911
1200,650,5281.309221460768,0.0,3022.4173130193913,1524.645333098911
1200,700,5292.2681255703565,0.0,3022.4173130193913,1524.645333098911
1200,750,5303.227029679946,0.0,3022.4173130193913,1524.645333098911
1200,800,5314.185933789535,0.0,3022.4173130193913,1524.645333098911
1200,850,5325.144837899124,0.0,3022.4173130193913,1524.645333098911
1200,900,5336.103742008712,0.0,3022.4173130193913,1524.645333098911
1200,950,5347.062646118301,0.0,3022.4173130193913,1524.645333098911
1300,50,5243.351044520548,0.0,2668.7250000000004,1922.5712500000004
1300,100,5264.814573630137,0.0,2696.2161250000004,1905.58475
1300,150,5297.701714614726,0.0,2723.6536250000004,1900.0754868749996
1300,200,5324.790372161815,0.0,2749.5271153125,1890.33175
1300,250,5353.271463771404,0.0,2774.5271153125,1882.8539375
1300,300,5335.834908818493,0.0,2843.0271153125004,1785.9584784375
1300,350,5280.744484151994,0.0,2942.100000000001,1620.836264973911
1300,400,5246.8608151365825,0.0,3013.9500000000007,1504.1436918489107
1300,450,5234.13560196951,0.0,3043.4699445983388,1450.939629973911
1300,500,5245.094506079099,0.0,3043.4699445983388,1450.939629973911
1300,550,5256.053410188688,0.0,3043.4699445983388,1450.939629973911
1300,600,5267.0123142982775,0.0,3043.4699445983388,1450.939629973911
1300,650,5277.971218407866,0.0,3043.4699445983388,1450.939629973911
1300,700,5288.930122517455,0.0,3043.4699445983388,1450.939629973911
1300,750,5299.889026627044,0.0,3043.4699445983388,1450.939629973911
1300,800,5310.847930736632,0.0,3043.4699445983388,1450.939629973911
1300,850,5321.806834846222,0.0,3043.4699445983388,1450.939629973911
1300,900,5332.765738955811,0.0,3043.4699445983388,1450.939629973911
1300,950,5343.7246430653995,0.0,3043.4699445983388,1450.939629973911
1300,1000,5354.683547174989,0.0,3043.4699445983388,1450.939629973911
1400,50,5254.666113013699,0.0,2668.7250000000004,1884.5712500000002
1400,100,5276.129642123288,0.0,2696.2161250000004,1867.5847500000004
1400,150,5309.753858732877,0.0,2723.6536250000004,1862.8125624999998
1400,200,5336.105440654966,0.0,2749.5271153125,1852.33175
1400,250,5364.586532264555,0.0,2774.5271153125004,1844.8539375
1400,300,5347.149977311644,0.0,2843.0271153125004,1747.9584784375004
1400,350,5295.764552645144,0.0,2942.1000000000004,1586.5412649739112
1400,400,5258.255321754734,0.0,3013.9500000000003,1466.223129973911
1400,450,5236.384336489323,0.0,3061.1500000000005,1386.193240598911
1400,500,5245.221848026197,0.0,3064.522576177286,1380.699271848911
1400,550,5256.180752135786,0.0,3064.522576177286,1380.699271848911
1400,600,5267.139656245375,0.0,3064.522576177286,1380.699271848911
1400,650,5278.098560354964,0.0,3064.522576177286,1380.699271848911
1400,700,5289.057464464553,0.0,3064.522576177286,1380.699271848911
1400,750,5300.016368574142,0.0,3064.522576177286,1380.699271848911
1400,800,5310.9752726837305,0.0,3064.522576177286,1380.699271848911
1400,850,5321.93417679332,0.0,3064.522576177286,1380.699271848911
1400,900,5332.893080902909,0.0,3064.522576177286,1380.699271848911
1400,950,5343.8519850124985,0.0,3064.522576177286,1380.699271848911
1400,1000,5354.810889122087,0.0,3064.522576177286,1380.699271848911
1400,1050,5365.769793231676,0.0,3064.522576177286,1380.699271848911
1400,1100,5376.728697341266,0.0,3064.522576177286,1380.699271848911
1500,50,5270.3732393193495,0.0,2665.1133078125004,1854.5750000000003
1500,100,5287.444710616438,0.0,2696.2161250000004,1829.58475
1500,150,5321.068927226028,0.0,2723.6536250000004,1824.8125625000002
1500,200,5349.771746023116,0.0,2749.5271153125,1816.6829868749999
1500,250,5375.901600757706,0.0,2774.5271153125004,1806.8539375
1500,300,5358.465045804794,0.0,2843.0271153125004,1709.9584784375
1500,350,5310.784621138295,0.0,2942.1000000000004,1552.2462649739114
1500,400,5270.134890872884,0.0,3013.9500000000003,1428.7876305989107
1500,450,5251.404404982474,0.0,3061.15,1351.8982405989113
1500,500,5244.242906223296,0.0,3085.575207756233,1309.3526299739115
1500,550,5255.201810332885,0.0,3085.575207756233,1309.3526299739115
1500,600,5266.160714442474,0.0,3085.575207756233,1309.3526299739115
1500,650,5277.119618552063,0.0,3085.575207756233,1309.3526299739115
1500,700,5288.078522661652,0.0,3085.575207756233,1309.3526299739115
1500,750,5299.0374267712405,0.0,3085.575207756233,1309.3526299739115
