E_B,P_Battery_Max,cost_ALL,cost_PV,cost_WG,cost_net
100,50,14975.56697260274,2875.898,3856.2500000000005,8183.1449999999995
200,50,14969.751828595892,2875.898,3881.2500000000005,8103.014787499999
200,100,15010.304352407697,2875.898,3896.8234072022165,8117.034999999999
200,150,15046.263256517286,2875.898,3921.8234072022165,8117.034999999999
300,50,14981.066897089044,2875.898,3881.2500000000005,8065.014787499999
300,100,15000.865210374532,2875.898,3930.834196675901,8024.269999999999
300,150,15061.824114484121,2875.898,3930.834196675901,8074.269999999999
300,200,15093.537229120026,2875.898,3946.8234072022165,8079.034999999999
400,50,14992.381965582194,2875.898,3881.2500000000005,8027.014787499999
400,100,14991.720557191782,2875.898,3956.2500000000005,7940.394474999999
400,150,15039.244446135166,2875.898,3972.9394598337954,7960.269999999999
400,200,15096.793350244754,2875.898,3972.9394598337954,8006.859999999999
400,250,15107.752254354344,2875.898,3972.9394598337954,8006.859999999999
400,300,15118.711158463933,2875.898,3972.9394598337954,8006.859999999999
500,50,15003.697034075345,2875.898,3881.2500000000005,7989.014787499999
500,100,15003.035625684934,2875.898,3956.2500000000005,7902.394474999999
500,150,15016.66477778621,2875.898,4015.04472299169,7846.269999999999
500,200,15074.2136818958,2875.898,4015.0447229916904,7892.859999999999
500,250,15085.172586005388,2875.898,4015.0447229916904,7892.859999999999
500,300,15096.131490114978,2875.898,4015.0447229916904,7892.859999999999
500,350,15107.090394224568,2875.898,4015.0447229916904,7892.859999999999
500,400,15118.049298334156,2875.898,4015.0447229916904,7892.859999999999
600,50,15015.012102568497,2875.898,3881.2500000000005,7951.014787499999
600,100,15014.350694178083,2875.898,3956.2500000000005,7864.394474999999
600,150,15014.934598287673,2875.898,4031.25,7779.019474999999
600,200,14969.694026046847,2875.898,3974.547486149585,7779.522512499999
600,250,15010.527930156435,2875.898,3999.547486149585,7784.397512499999
600,300,15027.109309266025,2875.898,4004.252486149585,7785.314987499999
600,350,15038.068213375613,2875.898,4004.252486149585,7785.314987499999
600,400,15049.027117485202,2875.898,4004.252486149585,7785.314987499999
600,450,15059.986021594792,2875.898,4004.252486149585,7785.314987499999
700,50,15026.327171061646,2875.898,3881.2500000000005,7913.014787499999
700,100,15025.665762671235,2875.898,3956.2500000000005,7826.394474999999
700,150,15026.249666780823,2875.898,4031.2500000000005,7741.019474999999
700,200,14947.114357697892,2875.898,4016.6527493074796,7665.522512499999
700,250,14987.94826180748,2875.898,4041.6527493074796,7670.397512499999
700,300,15028.78216591707,2875.898,4066.6527493074796,7675.272512499999
700,350,15060.89854502666,2875.898,4084.3577493074795,7678.724987499999
700,400,15071.857449136247,2875.898,4084.3577493074795,7678.724987499999
700,450,15082.816353245837,2875.898,4084.3577493074795,7678.724987499999
700,500,15093.775257355426,2875.898,4084.3577493074795,7678.724987499999
700,550,15104.734161465016,2875.898,4084.3577493074795,7678.724987499999
800,50,15037.642239554798,2875.898,3881.2500000000005,7875.014787499999
800,100,15036.980831164385,2875.898,3956.2500000000005,7788.394474999999
800,150,15037.564735273974,2875.898,4031.25,7703.019474999999
800,200,14952.798651883562,2875.898,4023.6475000000005,7614.896987499999
800,250,14965.368593458525,2875.898,4083.7580124653746,7556.397512499999
800,300,15006.202497568114,2875.898,4108.758012465375,7561.272512499999
800,350,15047.036401677704,2875.898,4133.758012465375,7566.147512499999
800,400,15067.080293287292,2875.898,4141.360512465375,7567.629999999998
800,450,15078.039197396882,2875.898,4141.360512465375,7567.629999999998
800,500,15088.998101506471,2875.898,4141.360512465375,7567.629999999998
800,550,15099.95700561606,2875.898,4141.360512465375,7567.629999999998
800,600,15110.915909725649,2875.898,4141.360512465375,7567.629999999998
900,50,15048.957308047948,2875.898,3881.2500000000005,7837.014787499999
900,100,15048.295899657536,2875.898,3956.2500000000005,7750.394474999999
900,150,15048.879803767124,2875.898,4031.2500000000005,7665.019474999999
900,200,14964.113720376712,2875.898,4023.6475000000005,7576.896987499999
900,250,14960.958399486302,2875.898,4103.2925000000005,7483.1377625
900,300,14983.622829219159,2875.898,4150.863275623269,7447.272512499999
900,350,15024.456733328749,2875.898,4175.863275623269,7452.147512499999
900,400,15044.500624938339,2875.898,4183.465775623269,7453.629999999998
900,450,15055.459529047928,2875.898,4183.465775623269,7453.629999999998
900,500,15066.418433157516,2875.898,4183.465775623269,7453.629999999998
900,550,15077.377337267106,2875.898,4183.465775623269,7453.629999999998
900,600,15088.336241376695,2875.898,4183.465775623269,7453.629999999998
900,650,15099.295145486283,2875.898,4183.465775623269,7453.629999999998
900,700,15110.254049595873,2875.898,4183.465775623269,7453.629999999998
1000,50,15060.2723765411,2875.898,3881.2500000000005,7799.014787499999
1000,100,15059.610968150686,2875.898,3956.25,7712.394474999999
1000,150,15060.194872260276,2875.898,4031.25,7627.019474999999
1000,200,14975.428788869864,2875.898,4023.6475000000005,7538.896987499999
1000,250,14972.273467979452,2875.898,4103.2925000000005,7445.1377625
1000,300,14972.857372089042,2875.898,4178.2925000000005,7359.762762499999
1000,350,15001.877064979793,2875.898,4217.968538781163,7338.147512499999
1000,400,15021.920956589383,2875.898,4225.571038781163,7339.629999999998
1000,450,15032.879860698973,2875.898,4225.571038781163,7339.629999999998
1000,500,15043.838764808563,2875.898,4225.571038781163,7339.629999999999
1000,550,15054.79766891815,2875.898,4225.571038781164,7339.629999999999
1000,600,15065.75657302774,2875.898,4225.571038781164,7339.629999999999
1000,650,15076.71547713733,2875.898,4225.571038781164,7339.629999999999
1000,700,15087.674381246918,2875.898,4225.571038781164,7339.629999999999
1000,750,15098.633285356507,2875.898,4225.571038781164,7339.629999999999
1000,800,15109.592189466097,2875.898,4225.571038781164,7339.629999999999
1100,50,15071.587445034249,2875.898,3881.2500000000005,7761.014787499999
1100,100,15070.926036643838,2875.898,3956.2500000000005,7674.394474999999
1100,150,15071.509940753425,2875.898,4031.25,7589.019474999999
1100,200,14986.743857363013,2875.898,4023.6475,7500.896987499999
1100,250,14983.588536472604,2875.898,4103.2925000000005,7407.137762499999
1100,300,14984.172440582191,2875.898,4178.2925000000005,7321.762762499999
1100,350,14984.756344691781,2875.898,4253.2925000000005,7236.387762499999
1100,400,14999.34128824043,2875.898,4267.676301939058,7225.629999999998
1100,450,15010.30019235002,2875.898,4267.676301939058,7225.629999999998
1100,500,15021.259096459607,2875.898,4267.676301939058,7225.629999999998
1100,550,15032.218000569197,2875.898,4267.676301939058,7225.629999999998
1100,600,15043.176904678787,2875.898,4267.676301939058,7225.629999999998
1100,650,15054.135808788375,2875.898,4267.676301939058,7225.629999999998
1100,700,15065.094712897964,2875.898,4267.676301939058,7225.629999999998
1100,750,15076.053617007554,2875.898,4267.676301939058,7225.629999999998
1100,800,15087.012521117142,2875.898,4267.676301939058,7225.629999999998
1100,850,15097.971425226731,2875.898,4267.676301939058,7225.629999999998
1200,50,15088.9025135274,2875.898,3881.2500000000005,7729.014787499999
